,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
NF_13231,5,0,5,0,0,0,0,0,1,20.0,1,20.0,1,100.0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,100.0,0.0,0.0,0.0,,,
Okeanos,11,0,11,0,4,0,3,0,1,9.090909090909092,0,0.0,1,100.0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,73.33333333333333,100.0,36.36363636363637,27.27272727272727,20.0,100.0,0.0,0.0
Ragdoll,11,0,11,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,73.33333333333333,100.0,0.0,36.36363636363637,6.666666666666667,100.0,0.0,0.0
Jager,8,0,8,0,3,0,0,0,0,0.0,1,12.5,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,53.333333333333336,100.0,37.5,0.0,6.666666666666667,100.0,0.0,0.0
NF_21511,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,50.0,6.666666666666667,100.0,0.0,0.0
Seara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,66.66666666666666,0.0
Hathor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Vigor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,5,0,5,0,0,0,1,0,1,20.0,1,20.0,0,0.0,0,0.0,0.0,,,,33.33333333333333,100.0,0.0,20.0
Molly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,5,0,5,0,0,0,0,0,2,40.0,1,20.0,0,0.0,0,0.0,0.0,,,,33.33333333333333,100.0,0.0,0.0
Fran,12,0,12,0,2,0,1,0,5,41.66666666666667,0,0.0,5,100.0,0,0,<--,-->,3,0,3,0,0,0,3,0,2,66.66666666666666,0,0.0,0,0.0,0,0,80.0,100.0,16.666666666666664,8.333333333333332,20.0,100.0,0.0,100.0
NF_23513,9,0,9,0,0,0,2,0,0,0.0,2,22.22222222222222,0,0,2,100.0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,60.0,100.0,0.0,22.22222222222222,13.333333333333334,100.0,0.0,0.0
Leo,3,0,3,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,20.0,100.0,0.0,66.66666666666666,6.666666666666667,100.0,100.0,0.0
Giana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,2,0,1,50.0,0,0.0,0,0.0,0,0,0.0,,,,13.333333333333334,100.0,0.0,100.0
Harmonia,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,0.0,,,
NF_22213,4,0,4,0,0,0,0,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,26.666666666666668,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
NF_22215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Laika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,100.0,0.0
MoLong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,2,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,66.66666666666666,33.33333333333333
Bolverk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Julianne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Bastet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,2,0,1,33.33333333333333,0,0.0,0,0.0,0,0,0.0,,,,20.0,100.0,0.0,66.66666666666666
Vanessa,3,0,3,0,3,0,0,0,0,0.0,1,33.33333333333333,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,100.0,100.0,0.0,0.0,,,
Juno,2,0,2,0,1,0,1,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333333333334,100.0,50.0,50.0,0.0,,,
Velajuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,33.33333333333333
Nephthys,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,1,0,1,0,0,0.0,1,33.33333333333333,0,0,0,0.0,0.0,,,,20.0,100.0,33.33333333333333,33.33333333333333
Odin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Tiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Yeonhong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Ganymede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,50.0,0.0
Elenoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Daphnis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,4,0,4,0,0,0,2,0,1,25.0,0,0.0,0,0.0,0,0,0.0,,,,26.666666666666668,100.0,0.0,50.0
Loren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Verdehile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Triana,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,0.0,,,
Cheongpung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,0.0
Josephine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,50.0,0.0
Tesarion,2,0,2,0,1,0,1,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333333333334,100.0,50.0,50.0,0.0,,,
Celia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Leona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Lydia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Anavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Praha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
XingZhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
FengYan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Ethna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Vivachel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
TianLang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
NF_23115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Chiwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Poseidon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Lushen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Akroma,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666666666667,100.0,100.0,0.0,0.0,,,
