,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Okeanos,12,0,12,0,6,0,1,0,6,50.0,0,0.0,6,100.0,0,0,<--,-->,2,0,2,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,80.0,100.0,50.0,8.333333333333332,13.333333333333334,100.0,0.0,100.0
Han,13,0,13,0,1,0,2,0,0,0.0,1,7.692307692307692,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.66666666666667,100.0,7.692307692307692,15.384615384615385,0.0,,,
Giana,15,0,15,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,0.0,26.666666666666668,0.0,,,
Triana,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Leo,2,0,2,0,0,0,1,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333333333334,100.0,0.0,50.0,0.0,,,
Seara,4,0,4,0,2,0,1,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,11,0,11,0,7,0,2,0,5,45.45454545454545,0,0.0,0,0.0,0,0,26.666666666666668,100.0,50.0,25.0,73.33333333333333,100.0,63.63636363636363,18.181818181818183
NF_23511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,4,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,26.666666666666668,100.0,0.0,0.0
NF_23513,7,0,7,0,0,0,1,0,0,0.0,2,28.57142857142857,0,0,2,100.0,<--,-->,4,0,4,0,0,0,0,0,0,0.0,1,25.0,0,0,0,0.0,46.666666666666664,100.0,0.0,14.285714285714285,26.666666666666668,100.0,0.0,0.0
Raki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Chiwu,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,4,0,4,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,100.0,0.0,26.666666666666668,100.0,25.0,25.0
