battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added
0,False,Seara,Ganymede,Eshir,Fran,Moore,None,Moore,Seara,Moore,Okeanos,Bastet,Cheongpung,Daphnis,Chiwu,Okeanos,None,Okeanos,Chiwu,2021-01-05 02:21:26
1,True,Seara,Cheongpung,Han,Gemini,Okeanos,Seara,None,Seara,Okeanos,MoLong,Harmonia,NF_23111,Juno,Leo,None,Leo,NF_23111,Leo,2021-01-05 02:16:36
2,False,Seara,Cheongpung,Ganymede,Verdehile,Sian,None,Sian,Seara,Sian,Okeanos,NF_23513,TianLang,Rica,Moore,Okeanos,None,Okeanos,Moore,2021-01-05 02:13:29
3,False,Seara,Ganymede,Verdehile,Eshir,Cheongpung,None,Eshir,Seara,Cheongpung,Okeanos,NF_23513,Juno,Rica,Chiwu,Okeanos,None,Okeanos,Chiwu,2021-01-05 02:09:51
4,True,Seara,Eshir,Ganymede,Leo,Cheongpung,None,Leo,Seara,Cheongpung,Bastet,Shimitae,NF_23513,Tablo,Okeanos,Okeanos,None,Shimitae,Okeanos,2021-01-05 02:03:23
5,True,Okeanos,Cheongpung,Han,Daphnis,Sian,None,Sian,Han,Sian,Seara,Verdehile,Vigor,Elucia,Fran,Seara,None,Seara,Fran,2021-01-05 02:00:04
6,True,Seara,Okeanos,Eshir,Moore,Cheongpung,Seara,None,Seara,Cheongpung,NF_22212,Tiana,Miho,Lydia,Bastet,None,Lydia,Lydia,Bastet,2021-01-05 01:51:12
7,False,Seara,Fran,Eshir,Molly,Verdehile,None,Molly,Seara,Verdehile,Okeanos,Ganymede,Giana,Moore,Cheongpung,Okeanos,None,Moore,Cheongpung,2021-01-05 01:49:07
8,False,Fran,Seara,Ganymede,Han,Gemini,Fran,None,Seara,Gemini,Okeanos,Molly,Ragdoll,Velajuel,Leo,None,Leo,Velajuel,Leo,2021-01-05 01:44:18
9,True,Seara,Cheongpung,Okeanos,Han,Betta,Seara,None,Seara,Betta,Fran,Molly,Ragdoll,Velajuel,Artamiel,None,Artamiel,Fran,Artamiel,2021-01-05 01:38:17
10,True,Okeanos,Cheongpung,Fran,Han,NF_23511,Okeanos,None,Fran,NF_23511,Juno,Verdehile,Yeonhong,Jamire,Seara,None,Jamire,Jamire,Seara,2021-01-05 01:30:31
11,True,Okeanos,Han,Fran,Moore,Cheongpung,Okeanos,None,Moore,Cheongpung,Seara,Juno,Yeonhong,Woosa,Verdehile,None,Woosa,Seara,Verdehile,2021-01-05 01:27:21
12,True,Cheongpung,Fran,Han,Sian,Okeanos,None,Sian,Fran,Okeanos,Seara,Verdehile,Miho,Ethna,Giana,Seara,None,Seara,Giana,2021-01-05 01:23:08
13,False,Seara,Cheongpung,Ganymede,Gemini,Okeanos,None,Okeanos,Seara,Okeanos,Ragdoll,Triana,Leona,Verdehile,Leo,Ragdoll,None,Ragdoll,Leo,2021-01-05 01:20:32
14,True,Seara,Han,Cheongpung,Gemini,Okeanos,Seara,None,Seara,Okeanos,Ragdoll,Triana,Sekhmet,Leona,Verdehile,None,Verdehile,Ragdoll,Verdehile,2021-01-05 01:17:17
