,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Seara,11,0,11,0,11,0,0,0,4,36.36363636363637,0,0.0,4,100.0,0,0,<--,-->,4,0,4,0,3,0,1,0,2,50.0,0,0.0,0,0.0,0,0,73.33333333333333,100.0,100.0,0.0,26.666666666666668,100.0,75.0,25.0
Ganymede,6,0,6,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,40.0,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Eshir,5,0,5,0,0,0,0,0,0,0.0,1,20.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,100.0,0.0,0.0,0.0,,,
Fran,6,0,6,0,2,0,0,0,1,16.666666666666664,0,0.0,1,100.0,0,0,<--,-->,2,0,2,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,40.0,100.0,33.33333333333333,0.0,13.333333333333334,100.0,50.0,50.0
Moore,3,0,3,0,1,0,1,0,0,0.0,1,33.33333333333333,0,0,1,100.0,<--,-->,2,0,2,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,20.0,100.0,33.33333333333333,33.33333333333333,13.333333333333334,100.0,50.0,50.0
Okeanos,9,0,9,0,0,0,4,0,2,22.22222222222222,1,11.11111111111111,2,100.0,1,100.0,<--,-->,6,0,6,0,3,0,1,0,5,83.33333333333334,0,0.0,0,0.0,0,0,60.0,100.0,0.0,44.44444444444444,40.0,100.0,50.0,16.666666666666664
Bastet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,33.33333333333333
Cheongpung,12,0,12,0,0,0,4,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,80.0,100.0,0.0,33.33333333333333,13.333333333333334,100.0,0.0,50.0
Daphnis,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Chiwu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,100.0
Han,8,0,8,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.333333333333336,100.0,12.5,0.0,0.0,,,
Gemini,4,0,4,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,0.0,25.0,0.0,,,
MoLong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Harmonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
NF_23111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Juno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,4,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,26.666666666666668,100.0,0.0,0.0
Leo,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,3,0,3,0,0,0,3,0,0,0.0,2,66.66666666666666,0,0,0,0.0,6.666666666666667,100.0,0.0,0.0,20.0,100.0,0.0,100.0
