#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
37,3,CN,Howtoplay༢,1317,17,2,0,38,19,0.894736842105263,2021-01-04 20:49:41.009399
37,3,CN,Howtoplay༢,1317,17,2,0,38,19,0.894736842105263,2021-01-04 20:50:29.372802
37,3,CN,Howtoplay༢,1317,17,2,0,38,19,0.894736842105263,2021-01-04 20:53:33.346910
37,3,CN,Howtoplay༢,1317,17,2,0,38,19,0.894736842105263,2021-01-04 20:54:22.245414
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:30:19.260918
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:32:01.158800
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:35:04.326547
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:37:11.841415
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:45:44.164890
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:48:33.980954
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:50:17.214329
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:51:16.926974
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:51:43.772313
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 22:52:32.073356
46,3,CN,Howtoplay༢,1317,17,2,0,46,19,0.894736842105263,2021-01-04 23:43:02.946260
