,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Okeanos,13,0,13,0,2,0,4,0,2,15.384615384615385,0,0.0,2,100.0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,86.66666666666667,100.0,15.384615384615385,30.76923076923077,13.333333333333334,100.0,0.0,0.0
Ragdoll,8,0,8,0,0,0,0,0,0,0.0,2,25.0,0,0,2,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,53.333333333333336,100.0,0.0,0.0,6.666666666666667,100.0,0.0,0.0
Fran,13,0,13,0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.66666666666667,100.0,23.076923076923077,0.0,0.0,,,
NF_24011,4,0,4,0,2,0,1,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,50.0,25.0,0.0,,,
Seara,9,0,9,0,5,0,2,0,2,22.22222222222222,0,0.0,2,100.0,0,0,<--,-->,4,0,4,0,2,0,0,0,3,75.0,0,0.0,0,0.0,0,0,60.0,100.0,55.55555555555556,22.22222222222222,26.666666666666668,100.0,50.0,0.0
Vigor,5,0,5,0,0,0,0,0,0,0.0,1,20.0,0,0,1,100.0,<--,-->,2,0,2,0,1,0,0,0,1,50.0,0,0.0,0,0.0,0,0,33.33333333333333,100.0,0.0,0.0,13.333333333333334,100.0,50.0,0.0
Verdehile,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,20.0,100.0,0.0,0.0
Triana,5,0,5,0,0,0,1,0,0,0.0,2,40.0,0,0,2,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,33.33333333333333,100.0,0.0,20.0,6.666666666666667,100.0,0.0,0.0
Eshir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Cheongpung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
Shimitae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Gemini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Vanessa,4,0,4,0,3,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,2,0,0,0,1,50.0,0,0.0,0,0.0,0,0,26.666666666666668,100.0,75.0,25.0,13.333333333333334,100.0,100.0,0.0
Molly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,5,0,5,0,0,0,0,0,3,60.0,1,20.0,0,0.0,0,0.0,0.0,,,,33.33333333333333,100.0,0.0,0.0
Velajuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,33.33333333333333
MoLong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Icares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,1,100.0,0,0,0,0.0,0.0,,,,6.666666666666667,100.0,0.0,100.0
Daphnis,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,13.333333333333334,100.0,0.0,50.0
Praha,3,0,3,0,0,0,1,0,0,0.0,1,33.33333333333333,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,20.0,100.0,0.0,33.33333333333333,6.666666666666667,100.0,0.0,0.0
XingZhe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,50.0,50.0
MeiHouWang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Juno,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,3,0,3,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,20.0,100.0,0.0,66.66666666666666
NF_21513,1,0,1,0,0,0,1,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,1,100.0,0,0,0,0.0,6.666666666666667,100.0,0.0,100.0,6.666666666666667,100.0,0.0,0.0
Han,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,1,100.0,0,0.0,0,0.0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Chiwu,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,4,0,4,0,3,0,1,0,1,25.0,0,0.0,0,0.0,0,0,6.666666666666667,100.0,0.0,100.0,26.666666666666668,100.0,75.0,25.0
Bering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Poseidon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
