,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Okeanos,11,0,11,0,0,0,1,0,2,18.181818181818183,0,0.0,2,100.0,0,0,<--,-->,4,0,4,0,2,0,0,0,2,50.0,0,0.0,0,0.0,0,0,73.33333333333333,100.0,0.0,9.090909090909092,26.666666666666668,100.0,50.0,0.0
Fran,2,0,2,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,1,50.0,0,0.0,0,0.0,0,0,13.333333333333334,100.0,50.0,0.0,13.333333333333334,100.0,0.0,0.0
Vanessa,3,0,3,0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,20.0,100.0,100.0,0.0,6.666666666666667,100.0,100.0,0.0
Rica,3,0,3,0,0,0,1,0,0,0.0,2,66.66666666666666,0,0,2,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,100.0,0.0,33.33333333333333,0.0,,,
Giana,14,0,14,0,0,0,7,0,3,21.428571428571427,0,0.0,3,100.0,0,0,<--,-->,1,0,1,0,0,0,0,0,1,100.0,0,0.0,0,0.0,0,0,93.33333333333333,100.0,0.0,50.0,6.666666666666667,100.0,0.0,0.0
Seara,8,0,8,0,4,0,1,0,1,12.5,0,0.0,1,100.0,0,0,<--,-->,6,0,6,0,4,0,2,0,3,50.0,0,0.0,0,0.0,0,0,53.333333333333336,100.0,50.0,12.5,40.0,100.0,66.66666666666666,33.33333333333333
Ganymede,5,0,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,0,0.0,33.33333333333333,100.0,0.0,0.0,13.333333333333334,100.0,0.0,0.0
Jager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Yeonhong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Molly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,4,0,4,0,0,0,1,0,1,25.0,0,0.0,0,0.0,0,0,0.0,,,,26.666666666666668,100.0,0.0,25.0
Chiwu,7,0,7,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,46.666666666666664,100.0,14.285714285714285,14.285714285714285,6.666666666666667,100.0,0.0,100.0
NF_23513,4,0,4,0,0,0,2,0,0,0.0,2,50.0,0,0,2,100.0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,26.666666666666668,100.0,0.0,50.0,13.333333333333334,100.0,0.0,0.0
Psamathe,3,0,3,0,3,0,0,0,0,0.0,1,33.33333333333333,0,0,1,100.0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,20.0,100.0,100.0,0.0,6.666666666666667,100.0,100.0,0.0
Praha,4,0,4,0,1,0,0,0,0,0.0,1,25.0,0,0,1,100.0,<--,-->,2,0,2,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,26.666666666666668,100.0,25.0,0.0,13.333333333333334,100.0,50.0,50.0
Shan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
NF_24012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Eshir,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,13.333333333333334,100.0,0.0,0.0
ShiHou,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,0.0,,,
NF_24011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,100.0,0.0
Verdehile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,0.0
Anavel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,13.333333333333334,100.0,0.0,50.0
XingZhe,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,1,50.0,0,0,0,0.0,6.666666666666667,100.0,0.0,0.0,13.333333333333334,100.0,0.0,50.0
NF_23511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
