#,server_id,country,wizard_name,rtpvp_score,win_count,lose_count,draw_count,rank,total_battles,win-perc,timestamp
29,6,FI,Viilipytty,1326,23,7,0,30,30,0.766666666666666,2021-01-04 20:49:41.045900
29,6,FI,Viilipytty,1326,23,7,0,30,30,0.766666666666666,2021-01-04 20:50:29.406747
29,6,FI,Viilipytty,1326,23,7,0,30,30,0.766666666666666,2021-01-04 20:53:33.379647
29,6,FI,Viilipytty,1326,23,7,0,30,30,0.766666666666666,2021-01-04 20:54:22.278314
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:30:19.282622
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:32:01.181480
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:35:04.349641
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:37:11.863690
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:45:44.188688
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:48:34.004419
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:50:17.236312
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:51:16.951555
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:51:43.795052
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 22:52:32.097375
36,6,FI,Viilipytty,1326,23,7,0,36,30,0.766666666666666,2021-01-04 23:43:02.967767
