battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added
0,True,Fran,Giana,Juno,Vigor,Seara,Fran,None,Fran,Seara,Okeanos,Velajuel,Artamiel,MoLong,Molly,None,MoLong,MoLong,Molly,2021-01-05 01:02:50
1,True,Fran,Jager,Artamiel,Moore,Verdehile,Fran,None,Jager,Verdehile,Cheongpung,Woonsa,Daphnis,NF_23512,Okeanos,None,NF_23512,Daphnis,Okeanos,2021-01-05 00:58:04
2,True,Seara,Jager,Cheongpung,TianLang,Fran,Seara,None,Cheongpung,Fran,Anavel,Artamiel,Leo,NF_21513,Triana,None,NF_21513,Leo,Triana,2021-01-05 00:52:54
3,True,Seara,Giana,Moore,Bering,Leo,None,Bering,Seara,Leo,Okeanos,Tablo,Jamire,Icares,Daphnis,Okeanos,None,Jamire,Daphnis,2021-01-05 00:48:50
4,False,Okeanos,Molly,Giana,Triana,Moore,Okeanos,None,Okeanos,Moore,Chiwu,Wolyung,Eludia,Poseidon,Cheongpung,None,Poseidon,Wolyung,Cheongpung,2021-01-05 00:42:35
5,True,Okeanos,Moore,Lydia,Triana,TianLang,Okeanos,None,Moore,TianLang,Bastet,Lucifer,Oberon,Kahli,Lushen,None,Kahli,Oberon,Lushen,2021-01-05 00:15:57
6,False,Okeanos,Seara,Giana,TianLang,Molly,None,TianLang,Seara,Molly,Josephine,Juno,MoLong,Triana,Vigor,Josephine,None,MoLong,Vigor,2021-01-05 00:10:24
7,True,Okeanos,Giana,TianLang,Daphnis,Molly,None,Daphnis,Daphnis,Molly,Fran,Velajuel,Juno,Seara,Vigor,Fran,None,Seara,Vigor,2021-01-05 00:04:58
8,True,Okeanos,Seara,TianLang,Molly,Giana,None,Molly,Okeanos,Giana,Fran,NF_21513,Juno,Tesarion,Vigor,Fran,None,Juno,Vigor,2021-01-05 00:01:10
9,True,Okeanos,Fran,TianLang,Artamiel,Giana,None,Artamiel,Fran,Giana,Bastet,Juno,NF_23511,Woosa,Seara,Seara,None,Woosa,Seara,2021-01-04 23:56:08
10,True,Fran,Seara,Jager,Akroma,Giana,Fran,None,Seara,Giana,Okeanos,SonZhangLao,Ethna,Vigor,Tiana,None,Vigor,SonZhangLao,Tiana,2021-01-04 23:50:48
11,True,Fran,TianLang,Jager,Molly,Giana,Giana,None,Jager,Giana,Velajuel,Wedjat,Juno,NF_22213,Vigor,None,NF_22213,Wedjat,Vigor,2021-01-04 23:45:38
12,True,Seara,Fran,Jager,Cayde,Giana,Seara,None,Seara,Giana,Okeanos,NF_23513,Laika,Rica,Molly,None,Rica,Laika,Molly,2021-01-04 19:57:51
13,True,Fran,Giana,Okeanos,Celia,Seara,None,Celia,Fran,Seara,Vigor,Miho,Daphnis,FengYan,Loren,Vigor,None,Miho,Loren,2021-01-04 19:50:33
14,True,Seara,Okeanos,TianLang,Bering,Giana,None,Giana,Seara,Giana,Tiana,Bastet,Grogen,Lydia,Verdehile,Tiana,None,Grogen,Verdehile,2021-01-04 19:37:56
