,pick,pick-perc,win,win-perc,leader,leader-perc,banned,banned-perc,first,first-perc,last,last-perc,1p-win,1p-win-perc,5p-win,5p-win-perc,user,enemy,opp_pick,opp_pick-perc,opp_win,opp_win-perc,opp_leader,opp_leader-perc,opp_banned,opp_banned-perc,opp_first,opp_first-perc,opp_last,opp_last-perc,opp_1p-win,opp_1p-win-perc,opp_5p-win,opp_5p-win-perc,pick_perc,win_perc,leader_perc,banned_perc,opp_pick_perc,opp_win_perc,opp_leader_perc,opp_banned_perc
Fran,8,0,8,0,3,0,1,0,3,37.5,0,0.0,3,100.0,0,0,<--,-->,2,0,2,0,0,0,0,0,2,100.0,0,0.0,0,0.0,0,0,53.333333333333336,100.0,37.5,12.5,13.333333333333334,100.0,0.0,0.0
Giana,12,0,12,0,0,0,6,0,1,8.333333333333332,1,8.333333333333332,1,100.0,1,100.0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,100.0,0.0,50.0,0.0,,,
Juno,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,5,0,5,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,0.0,33.33333333333333,100.0,20.0,0.0
Vigor,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,6,0,6,0,0,0,4,0,1,16.666666666666664,1,16.666666666666664,0,0.0,0,0.0,6.666666666666667,100.0,0.0,0.0,40.0,100.0,0.0,66.66666666666666
Seara,9,0,9,0,5,0,2,0,2,22.22222222222222,0,0.0,2,100.0,0,0,<--,-->,2,0,2,0,1,0,1,0,1,50.0,0,0.0,0,0.0,0,0,60.0,100.0,55.55555555555556,22.22222222222222,13.333333333333334,100.0,50.0,50.0
Okeanos,8,0,8,0,2,0,0,0,2,25.0,0,0.0,2,100.0,0,0,<--,-->,5,0,5,0,0,0,1,0,1,20.0,0,0.0,0,0.0,0,0,53.333333333333336,100.0,25.0,0.0,33.33333333333333,100.0,0.0,20.0
Velajuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,3,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,20.0,100.0,0.0,0.0
Artamiel,2,0,2,0,0,0,0,0,0,0.0,1,50.0,0,0,1,100.0,<--,-->,2,0,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,13.333333333333334,100.0,0.0,0.0,13.333333333333334,100.0,0.0,0.0
MoLong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,2,0,2,0,2,0,0,0,0,0.0,1,50.0,0,0,0,0.0,0.0,,,,13.333333333333334,100.0,100.0,0.0
Molly,5,0,5,0,0,0,2,0,0,0.0,1,20.0,0,0,1,100.0,<--,-->,2,0,2,0,0,0,2,0,0,0.0,0,0.0,0,0,0,0,33.33333333333333,100.0,0.0,40.0,13.333333333333334,100.0,0.0,100.0
Jager,5,0,5,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333333333,100.0,40.0,0.0,0.0,,,
Moore,4,0,4,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.666666666666668,100.0,25.0,25.0,0.0,,,
Verdehile,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,<--,-->,1,0,1,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,0.0,100.0,6.666666666666667,100.0,0.0,100.0
Cheongpung,1,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,<--,-->,2,0,2,0,0,0,1,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,100.0,0.0,13.333333333333334,100.0,0.0,50.0
Woonsa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<--,-->,1,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,,,,6.666666666666667,100.0,0.0,0.0
Daphnis,1,0,1,0,1,0,0,0,0,0.0,1,100.0,0,0,1,100.0,<--,-->,3,0,3,0,1,0,1,0,0,0.0,0,0.0,0,0,0,0,6.666666666666667,100.0,100.0,0.0,20.0,100.0,33.33333333333333,33.33333333333333
